,yearID,teamID,league,POS,RBI,name
0,2001,CHN,AL,OF,160,"Sosa, Sammy"
1,2001,CHN,NL,OF,160,"Sosa, Sammy"
2,2007,NYA,AL,SS,156,"Rodriguez, Alex"
3,2007,NYA,NL,SS,156,"Rodriguez, Alex"
4,2007,NYA,AL,3B,156,"Rodriguez, Alex"
5,2007,NYA,NL,3B,156,"Rodriguez, Alex"
6,2007,NYA,AL,1B,156,"Rodriguez, Alex"
7,2007,NYA,NL,1B,156,"Rodriguez, Alex"
8,2004,BAL,AL,SS,150,"Tejada, Miguel"
9,2004,BAL,NL,SS,150,"Tejada, Miguel"
10,2004,BAL,AL,3B,150,"Tejada, Miguel"
11,2004,BAL,NL,3B,150,"Tejada, Miguel"
12,2004,BAL,AL,2B,150,"Tejada, Miguel"
13,2004,BAL,NL,2B,150,"Tejada, Miguel"
14,2004,BAL,AL,1B,150,"Tejada, Miguel"
15,2004,BAL,NL,1B,150,"Tejada, Miguel"
16,2006,PHI,AL,1B,149,"Howard, Ryan"
17,2006,PHI,NL,1B,149,"Howard, Ryan"
18,2005,BOS,AL,1B,148,"Ortiz, David"
19,2005,BOS,NL,1B,148,"Ortiz, David"
20,2000,COL,AL,1B,147,"Helton, Todd"
21,2000,COL,NL,1B,147,"Helton, Todd"
22,2000,COL,AL,OF,147,"Helton, Todd"
23,2000,COL,NL,OF,147,"Helton, Todd"
24,2001,COL,AL,1B,146,"Helton, Todd"
25,2001,COL,NL,1B,146,"Helton, Todd"
26,2001,COL,AL,OF,146,"Helton, Todd"
27,2001,COL,NL,OF,146,"Helton, Todd"
28,2008,PHI,AL,1B,146,"Howard, Ryan"
29,2008,PHI,NL,1B,146,"Howard, Ryan"
30,2000,SEA,AL,3B,145,"Martinez, Edgar"
31,2000,SEA,NL,3B,145,"Martinez, Edgar"
32,2000,SEA,AL,1B,145,"Martinez, Edgar"
33,2000,SEA,NL,1B,145,"Martinez, Edgar"
34,2003,TOR,AL,C,145,"Delgado, Carlos"
35,2003,TOR,NL,C,145,"Delgado, Carlos"
36,2003,TOR,AL,OF,145,"Delgado, Carlos"
37,2003,TOR,NL,OF,145,"Delgado, Carlos"
38,2003,TOR,AL,1B,145,"Delgado, Carlos"
39,2003,TOR,NL,1B,145,"Delgado, Carlos"
40,2000,KCA,AL,C,144,"Sweeney, Mike"
41,2000,KCA,NL,C,144,"Sweeney, Mike"
42,2000,KCA,AL,1B,144,"Sweeney, Mike"
43,2000,KCA,NL,1B,144,"Sweeney, Mike"
44,2005,BOS,AL,OF,144,"Ramirez, Manny"
45,2005,BOS,NL,OF,144,"Ramirez, Manny"
46,2005,TEX,AL,1B,144,"Teixeira, Mark"
47,2005,TEX,NL,1B,144,"Teixeira, Mark"
48,2005,TEX,AL,3B,144,"Teixeira, Mark"
49,2005,TEX,NL,3B,144,"Teixeira, Mark"
50,2005,TEX,AL,OF,144,"Teixeira, Mark"
51,2005,TEX,NL,OF,144,"Teixeira, Mark"
52,2000,CHA,AL,1B,143,"Thomas, Frank"
53,2000,CHA,NL,1B,143,"Thomas, Frank"
54,2001,ARI,AL,1B,142,"Gonzalez, Luis"
55,2001,ARI,NL,1B,142,"Gonzalez, Luis"
56,2001,ARI,AL,3B,142,"Gonzalez, Luis"
57,2001,ARI,NL,3B,142,"Gonzalez, Luis"
58,2001,ARI,AL,OF,142,"Gonzalez, Luis"
59,2001,ARI,NL,OF,142,"Gonzalez, Luis"
60,2002,TEX,AL,SS,142,"Rodriguez, Alex"
61,2002,TEX,NL,SS,142,"Rodriguez, Alex"
62,2002,TEX,AL,3B,142,"Rodriguez, Alex"
63,2002,TEX,NL,3B,142,"Rodriguez, Alex"
64,2002,TEX,AL,1B,142,"Rodriguez, Alex"
65,2002,TEX,NL,1B,142,"Rodriguez, Alex"
