,year,lgID,teamID,avg_ba
0,2007,AL,TBA,0.2892067375127195
1,2008,AL,MIN,0.287575306293604
2,2007,AL,SEA,0.28454830229796496
3,2003,AL,SLN,0.28329842385114257
4,2001,AL,MIN,0.2791983533799335
5,2002,AL,SEA,0.2738639351625682
6,2006,AL,CLE,0.27282597748380844
7,2003,AL,TOR,0.2648080024520377
8,2008,AL,KCA,0.26336955947570995
9,2004,AL,CHA,0.26037351722510615
10,2012,AL,CLE,0.25872050328450785
11,2001,AL,PHI,0.258380534875931
12,2002,AL,SFN,0.25794385820077304
13,2006,AL,BAL,0.25449955393735535
14,2004,AL,CLE,0.2520758000749069
15,2011,AL,BAL,0.2520310028977967
16,2007,AL,KCA,0.24996429290425962
17,2006,AL,CHA,0.249586360602241
18,2016,AL,CHA,0.24775062673000145
19,2005,AL,CHA,0.24627469627331977
20,2011,AL,TEX,0.24617418923242065
21,2008,AL,OAK,0.2456561315456153
22,2008,AL,TEX,0.2454479004748943
23,2013,AL,KCA,0.24521847828415283
24,2007,AL,CLE,0.24511160933672346
25,2001,AL,CLE,0.24508088560021793
26,2003,AL,KCA,0.24238187319587606
27,2017,AL,BOS,0.2417814088322105
28,2005,AL,BAL,0.24031162978833306
29,2010,AL,KCA,0.23992415610390805
30,2007,AL,BOS,0.23904574134458173
31,2007,AL,BAL,0.23892265699968046
32,2017,AL,CHA,0.23886673917993695
33,2002,AL,MIN,0.2385685841909753
34,2005,AL,ATL,0.23825145752904342
35,2003,AL,MIN,0.23792680876240352
36,2009,AL,OAK,0.23750436606943828
37,2013,AL,DET,0.23728885195867383
38,2011,AL,LAA,0.23672524047421278
39,2010,AL,BOS,0.23612265674526695
40,2005,AL,DET,0.23559971375656477
41,2005,AL,BOS,0.2350437950226982
42,2004,AL,SLN,0.2344138938705571
43,2009,AL,LAA,0.23373032827283327
44,2002,AL,ANA,0.23366258941895576
45,2015,AL,WAS,0.23307852665918471
46,2006,AL,SDN,0.23291201701443867
47,2005,AL,TEX,0.2327794354726179
48,2009,AL,KCA,0.23256202073545693
49,2015,AL,CLE,0.23238450918213446
50,2018,AL,SEA,0.23232960585314305
51,2003,AL,DET,0.23184438130967447
52,2003,AL,ARI,0.23070615962288388
53,2011,AL,CLE,0.23066234428752935
54,2017,AL,NYA,0.2304853640866529
55,2007,AL,MIL,0.2304611990502668
56,2016,AL,TEX,0.22953153559180628
57,2007,AL,MIN,0.22953100486753733
58,2003,AL,CHA,0.22893708066448187
59,2006,AL,SFN,0.22850254754578728
60,2017,AL,DET,0.22848167852355283
61,2011,AL,MIN,0.22798182099266961
62,2001,AL,TBA,0.22786650501384262
63,2003,AL,NYA,0.22785374186565044
64,2001,AL,ANA,0.22731309932772703
65,2008,AL,SEA,0.22686134003306538
66,2002,AL,LAN,0.22597379746624013
67,2015,AL,TOR,0.22585596783280154
68,2002,AL,ARI,0.2256860021689451
69,2007,AL,TOR,0.22548667796782793
70,2001,AL,SEA,0.22542690594835588
71,2011,AL,CIN,0.22540288130047167
72,2002,AL,COL,0.22534982822456334
73,2003,AL,FLO,0.2251507798448701
74,2017,AL,MIN,0.22512662405810097
75,2018,AL,TOR,0.22470150705819741
76,2006,AL,TEX,0.22456258804326798
77,2009,AL,BAL,0.22445858187755957
78,2002,AL,TOR,0.22438234569227325
79,2008,AL,MIL,0.22419568006848256
80,2004,AL,BOS,0.223983544938665
81,2010,AL,TEX,0.2238204564248667
82,2006,AL,CHN,0.22370872008969428
83,2001,AL,LAN,0.22363649682205494
84,2006,AL,SLN,0.22333534328446442
85,2013,AL,CIN,0.2231684698174496
86,2001,AL,TEX,0.22231408581075393
87,2006,AL,LAN,0.2222672502293693
88,2003,AL,SEA,0.22216198364711495
89,2017,AL,CLE,0.22194954250200524
90,2012,AL,SLN,0.22175416107077678
91,2015,AL,HOU,0.22167268680759908
92,2019,AL,HOU,0.22166200347796802
93,2014,AL,DET,0.2215329221378219
94,2005,AL,CHN,0.22145639332320968
95,2019,AL,DET,0.22139706919515809
96,2016,AL,MIN,0.2210849925640046
97,2001,AL,TOR,0.22103739784793913
98,2005,AL,HOU,0.22083435055467326
99,2017,AL,TBA,0.2206137396847239
100,2006,AL,KCA,0.22033658131835027
101,2006,AL,SEA,0.2203175699911221
102,2002,AL,TEX,0.2202840213653322
103,2010,AL,CHA,0.22011981784131304
104,2003,AL,ANA,0.22009002993877838
105,2012,AL,TEX,0.2200657620164057
106,2017,AL,SEA,0.22003548985964055
107,2003,AL,PIT,0.2197753732674853
108,2008,AL,CLE,0.21951663389976728
109,2001,AL,COL,0.21904736758471766
110,2003,AL,SFN,0.2190463401482952
111,2004,AL,SFN,0.21869624790182188
112,2007,AL,LAA,0.218627969507585
113,2007,AL,TEX,0.21847760247661502
114,2011,AL,HOU,0.21846080596799894
115,2015,AL,CHA,0.21834615337222482
116,2003,AL,PHI,0.2180035258071367
117,2007,AL,PIT,0.21794342465573444
118,2001,AL,KCA,0.21782225256979992
119,2014,AL,BOS,0.21722657125121148
120,2002,AL,OAK,0.21708422404489752
121,2016,AL,SFN,0.21662099226439108
122,2014,AL,TEX,0.21653471648995629
123,2005,AL,KCA,0.21622464760662757
124,2018,AL,MIL,0.21613766064323542
125,2005,AL,NYN,0.21562297190857815
126,2012,AL,PHI,0.21559480538025896
127,2012,AL,SEA,0.2153453488544312
128,2002,AL,DET,0.21528269269837336
129,2015,AL,DET,0.2150102334577331
130,2006,AL,BOS,0.21396157033105495
131,2007,AL,LAN,0.2136242719898689
132,2005,AL,MIN,0.21350620705023868
133,2010,AL,COL,0.21344737257820737
134,2008,AL,BAL,0.21334858384314312
135,2014,AL,NYA,0.21321359181701613
136,2013,AL,LAA,0.21320626828986602
137,2016,AL,WAS,0.21311987788270703
138,2010,AL,CIN,0.2130428946867134
139,2006,AL,TOR,0.21287064179980583
140,2003,AL,ATL,0.21287060293374985
141,2001,AL,ATL,0.212780587689119
142,2015,AL,BAL,0.21255997614190628
143,2014,AL,ATL,0.21255785747084274
144,2010,AL,SFN,0.21245357893341407
145,2004,AL,SEA,0.21209328873428143
146,2016,AL,DET,0.2118859612349261
147,2013,AL,BOS,0.21177911136875976
148,2011,AL,SLN,0.2110751219455905
149,2009,AL,TBA,0.2105811505167344
150,2011,AL,SEA,0.21027495559877624
151,2005,AL,PHI,0.21006312474321506
152,2009,AL,PHI,0.21002157663831636
153,2019,AL,TBA,0.20998513715275274
154,2015,AL,NYA,0.2097199327737734
155,2011,AL,COL,0.20961871861538636
156,2002,AL,KCA,0.2093360894590711
157,2011,AL,DET,0.2092049155834731
