,Year,teamID,lgID,HR,K,name
0,2015,CHA,AL,30,140,"Abreu, Jose"
1,2015,HOU,AL,15,67,"Altuve, Jose"
2,2015,HOU,NL,15,67,"Altuve, Jose"
3,2015,TEX,AL,7,78,"Andrus, Elvis"
4,2015,COL,NL,42,110,"Arenado, Nolan"
5,2015,LAA,AL,3,73,"Aybar, Erick"
6,2015,TOR,AL,40,106,"Bautista, Jose"
7,2015,TEX,AL,18,65,"Beltre, Adrian"
8,2015,BOS,AL,18,82,"Betts, Mookie"
9,2015,COL,NL,17,112,"Blackmon, Charlie"
10,2015,BOS,AL,7,101,"Bogaerts, Xander"
11,2015,CLE,AL,15,51,"Brantley, Michael"
12,2015,MIL,NL,25,115,"Braun, Ryan"
13,2015,CIN,NL,26,145,"Bruce, Jay"
14,2015,CHN,NL,26,199,"Bryant, Kris"
15,2015,OAK,AL,5,81,"Burns, Billy"
16,2015,OAK,AL,15,101,"Butler, Billy"
17,2015,TBA,AL,15,107,"Cabrera, Asdrubal"
18,2015,CHA,AL,12,88,"Cabrera, Melky"
19,2015,KCA,AL,16,98,"Cain, Lorenzo"
20,2015,LAA,AL,26,164,"Calhoun, Kole"
21,2015,SEA,AL,21,107,"Cano, Robinson"
22,2015,SLN,NL,28,151,"Carpenter, Matt"
23,2015,DET,AL,15,152,"Castellanos, Nick"
24,2015,CHN,NL,11,91,"Castro, Starlin"
25,2015,TEX,AL,22,147,"Choo, Shin-Soo"
26,2015,SFN,NL,21,119,"Crawford, Brandon"
27,2015,SEA,AL,44,164,"Cruz, Nelson"
28,2015,BAL,AL,47,208,"Davis, Chris"
29,2015,WAS,NL,19,187,"Desmond, Ian"
30,2015,TOR,AL,41,133,"Donaldson, Josh"
31,2015,MIN,AL,28,148,"Dozier, Brian"
32,2015,SFN,NL,12,96,"Duffy, Matt"
33,2015,CHA,AL,14,131,"Eaton, Adam"
34,2015,TOR,AL,39,98,"Encarnacion, Edwin"
35,2015,KCA,AL,3,75,"Escobar, Alcides"
36,2015,WAS,NL,9,70,"Escobar, Yunel"
37,2015,TEX,AL,23,88,"Fielder, Prince"
38,2015,TBA,AL,17,111,"Forsythe, Logan"
39,2015,CHN,NL,17,154,"Fowler, Dexter"
40,2015,CIN,NL,35,137,"Frazier, Todd"
41,2015,PHI,NL,7,103,"Galvis, Freddy"
42,2015,CHA,AL,13,141,"Garcia, Avisail"
43,2015,NYA,AL,16,135,"Gardner, Brett"
44,2015,HOU,AL,27,119,"Gattis, Evan"
45,2015,HOU,NL,27,119,"Gattis, Evan"
46,2015,ARI,NL,33,151,"Goldschmidt, Paul"
47,2015,LAN,NL,28,107,"Gonzalez, Adrian"
48,2015,COL,NL,40,133,"Gonzalez, Carlos"
49,2015,MIA,NL,4,91,"Gordon, Dee"
50,2015,NYN,NL,26,151,"Granderson, Curtis"
51,2015,NYA,AL,9,85,"Gregorius, Didi"
52,2015,WAS,NL,42,131,"Harper, Bryce"
53,2015,NYA,AL,11,135,"Headley, Chase"
54,2015,SLN,NL,13,90,"Heyward, Jason"
55,2015,KCA,AL,18,108,"Hosmer, Eric"
56,2015,MIN,AL,22,105,"Hunter, Torii"
57,2015,ARI,NL,6,58,"Inciarte, Ender"
58,2015,BAL,AL,27,102,"Jones, Adam"
59,2015,SDN,NL,23,147,"Kemp, Matt"
60,2015,TBA,AL,10,95,"Kiermaier, Kevin"
61,2015,DET,AL,11,80,"Kinsler, Ian"
62,2015,CLE,AL,9,107,"Kipnis, Jason"
